Prototype,CID,molecule_name,SMILES,Molecular weight,SA Score,svg_file
7,20,L-LiMCFB,F[B-](F)(OCCOCCOCCOCCOCCOC)F.[Li+],326.046,3.1528,molecule_svg/L-LiMCFB.svg
7,29,LBC,C=C(C(OCCOCCOCCOCCOCCOCCOB(OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)OCCOCCOCCOCCOCCOCCOC(C(C)=C)=O)=O)C,1059.012,3.7225,molecule_svg/LBC.svg
7,11,LBO,[Li+].[O-]B=O,49.751,5.8707,molecule_svg/LBO.svg
7,40,LiT4PAB,C=CCCC(O[B-](OC(CCC=C)=O)(OC(CCC=C)=O)OC(CCC=C)=O)=O.[Li+],414.189,3.8561,molecule_svg/LiT4PAB.svg
7,100,PBA,C1(=CC=CC=C1)OB(O)O,137.931,2.2553,molecule_svg/PBA.svg
7,72,TAB,O=C(C(C)=C)OCCO[B](OCCOCC=C)OCCOCC=C,342.197,3.4976,molecule_svg/TAB.svg
7,114,TBB,B(OCCCC)(OCCCC)OCCCC,230.157,2.858,molecule_svg/TBB.svg
7,1,TCEB,B(OCCC#N)(OCCC#N)OCCC#N,221.025,3.8477,molecule_svg/TCEB.svg
7,1,TCEB,B(OCCC#N)(OCCC#N)OCCC#N,221.025,3.8477,molecule_svg/TCEB.svg
7,117,TEBx,CCOB1OB(OCC)OB(OCC)O1,215.616,4.8043,molecule_svg/TEBx.svg
7,79,TMB,B1(OB(OB(O1)C)C)C,125.538,5.3829,molecule_svg/TMB.svg
7,2,TMBx,COB1OB(OC)OB(OC)O1,173.535,5.2027,molecule_svg/TMBx.svg
7,22,TME,COCCB(CCOC)CCOC,188.076,3.6213,molecule_svg/TME.svg
7,0,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,278.382,3.985,molecule_svg/TMSB.svg
7,0,TMSB,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,278.382,3.985,molecule_svg/TMSB.svg
7,64,TPB,B(OCCC)(OCCC)OCCC,188.076,3.3882,molecule_svg/TPB.svg
7,16,TiPBx,CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1,257.697,4.6184,molecule_svg/TiPBx.svg
7,27,TnPBx,CCCOB1OB(OCCC)OB(OCCC)O1,257.697,4.2198,molecule_svg/TnPBx.svg
