prototype,molecule_rank,candidate_index,prototype_similarity,smiles,svg_path,svg_file
6,1,48,0.8198520541191101,B(C1=C2C(=C(C(=C1F)F)F)C(=C(C(=C2F)F)F)F)(C3=C4C(=C(C(=C3F)F)F)C(=C(C(=C4F)F)F)F)C5=C6C(=C(C(=C5F)F)F)C(=C(C(=C6F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M1_sim_0.820_idx_48.svg,P6_M1_sim_0.820_idx_48.svg
6,2,27,0.8165456056594849,B(C1=C(C2=C(C(=C1F)F)C(=C(C(=C2F)F)F)F)F)(C3=C(C4=C(C(=C3F)F)C(=C(C(=C4F)F)F)F)F)C5=C(C6=C(C(=C5F)F)C(=C(C(=C6F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M2_sim_0.817_idx_27.svg,P6_M2_sim_0.817_idx_27.svg
6,3,53,0.8109763860702515,B(C1=C(C(=C(C(=C1F)F)F)F)B(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F)(C4=C(C(=C(C(=C4F)F)F)F)F)C5=C(C(=C(C(=C5F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M3_sim_0.811_idx_53.svg,P6_M3_sim_0.811_idx_53.svg
6,4,62,0.8100593686103821,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M4_sim_0.810_idx_62.svg,P6_M4_sim_0.810_idx_62.svg
6,5,77,0.8088399171829224,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)Cl,./save_figs/fig4e_top_molecule_svgs/P6_M5_sim_0.809_idx_77.svg,P6_M5_sim_0.809_idx_77.svg
6,6,54,0.8084468841552734,[B-](C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)(C3=C(C(=C(C(=C3F)F)F)F)F)C4=C(C(=C(C(=C4F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M6_sim_0.808_idx_54.svg,P6_M6_sim_0.808_idx_54.svg
6,7,16,0.8082640171051025,B(C1=CC(=C(C(=C1F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M7_sim_0.808_idx_16.svg,P6_M7_sim_0.808_idx_16.svg
6,8,5,0.8070154786109924,B(C1=C(C2=CC=CC=C2C=C1)C3=CC=CC4=CC=CC=C43)(C5=C(C(=C(C(=C5F)F)F)F)F)C6=C(C(=C(C(=C6F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M8_sim_0.807_idx_5.svg,P6_M8_sim_0.807_idx_5.svg
6,9,36,0.8066542744636536,B(C)(C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M9_sim_0.807_idx_36.svg,P6_M9_sim_0.807_idx_36.svg
6,10,30,0.806633472442627,B(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M10_sim_0.807_idx_30.svg,P6_M10_sim_0.807_idx_30.svg
6,11,9,0.8056676983833313,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M11_sim_0.806_idx_9.svg,P6_M11_sim_0.806_idx_9.svg
6,12,32,0.8052476048469543,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M12_sim_0.805_idx_32.svg,P6_M12_sim_0.805_idx_32.svg
6,13,69,0.8051684498786926,B(C1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M13_sim_0.805_idx_69.svg,P6_M13_sim_0.805_idx_69.svg
6,14,2,0.804841160774231,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M14_sim_0.805_idx_2.svg,P6_M14_sim_0.805_idx_2.svg
6,15,29,0.8046560287475586,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M15_sim_0.805_idx_29.svg,P6_M15_sim_0.805_idx_29.svg
6,16,44,0.8046156764030457,B(C)(C)C1=C(C(=C(C(=C1F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M16_sim_0.805_idx_44.svg,P6_M16_sim_0.805_idx_44.svg
6,17,43,0.8044784069061279,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC(C)C)OC(C)C,./save_figs/fig4e_top_molecule_svgs/P6_M17_sim_0.804_idx_43.svg,P6_M17_sim_0.804_idx_43.svg
6,18,47,0.8043332099914551,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M18_sim_0.804_idx_47.svg,P6_M18_sim_0.804_idx_47.svg
6,19,18,0.8039409518241882,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M19_sim_0.804_idx_18.svg,P6_M19_sim_0.804_idx_18.svg
6,20,57,0.8018889427185059,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M20_sim_0.802_idx_57.svg,P6_M20_sim_0.802_idx_57.svg
6,21,52,0.8006173372268677,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,./save_figs/fig4e_top_molecule_svgs/P6_M21_sim_0.801_idx_52.svg,P6_M21_sim_0.801_idx_52.svg
6,22,65,0.7973729968070984,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M22_sim_0.797_idx_65.svg,P6_M22_sim_0.797_idx_65.svg
6,23,24,0.7967953681945801,B(N1CCCC1)(N2CCCC2)N3CCCC3,./save_figs/fig4e_top_molecule_svgs/P6_M23_sim_0.797_idx_24.svg,P6_M23_sim_0.797_idx_24.svg
6,24,6,0.7956426739692688,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC,./save_figs/fig4e_top_molecule_svgs/P6_M24_sim_0.796_idx_6.svg,P6_M24_sim_0.796_idx_6.svg
6,25,20,0.7924919128417969,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M25_sim_0.792_idx_20.svg,P6_M25_sim_0.792_idx_20.svg
6,26,15,0.7905528545379639,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,./save_figs/fig4e_top_molecule_svgs/P6_M26_sim_0.791_idx_15.svg,P6_M26_sim_0.791_idx_15.svg
6,27,28,0.790117621421814,B(C1=C(C(=C(C(=C1F)F)F)F)F)(SC)SC,./save_figs/fig4e_top_molecule_svgs/P6_M27_sim_0.790_idx_28.svg,P6_M27_sim_0.790_idx_28.svg
6,28,51,0.7892118096351624,B(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(C(=C(C(=C3F)F)F)F)F,./save_figs/fig4e_top_molecule_svgs/P6_M28_sim_0.789_idx_51.svg,P6_M28_sim_0.789_idx_51.svg
6,29,55,0.7848109602928162,B(N=C(C(F)(F)F)C(F)(F)F)(N(C)C)N(C)C,./save_figs/fig4e_top_molecule_svgs/P6_M29_sim_0.785_idx_55.svg,P6_M29_sim_0.785_idx_55.svg
6,30,17,0.7814565300941467,B(B(N1CCCC1)N2CCCC2)(N3CCCC3)N4CCCC4,./save_figs/fig4e_top_molecule_svgs/P6_M30_sim_0.781_idx_17.svg,P6_M30_sim_0.781_idx_17.svg
