cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
74891392,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2OC)NN=C3,Morgan fingerprints,7,0.56953394,0.45565265,0.11388129,0.3090909090909091,0.6909090909090909,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.07195462,0.45565265,0.091936134,-0.45364246,-0.40598774,-0.19730791,0.56953394
75175998,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)CN3C=NC4=C3N=CN=C4Cl,Morgan fingerprints,2,0.7592884,0.31820711,0.44108126,0.38,0.62,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),-0.009544151,0.7592884,0.09973646,-0.28341743,-0.38488856,-0.25210416,0.31820711
75176003,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)N(CC)C(C)C,Morgan fingerprints,7,0.4871928,0.08613621,0.4010566,0.6571428571428571,0.34285714285714286,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),-0.1220108,-0.10838543,0.08613621,-0.5217742,-0.14081949,-0.062794186,0.4871928
75176028,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)OCCOC(=O)C,Morgan fingerprints,7,0.3144899,0.20903829,0.10545161,0.4090909090909091,0.5909090909090908,116,DiOB-An,C(C)N(C1=CC=C(C=C1)B1OC(C(O1)(C)C)(C)C)CC,SP2,benzene ring; boronate (B-O),0.024536276,0.001384372,0.04493737,-0.35484788,-0.32837522,0.20903829,0.3144899
75201256,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N=C2)C(=O)OCC,Morgan fingerprints,2,0.5019001,0.24770372,0.25419635,0.36585365853658536,0.6341463414634146,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.055283602,0.5019001,0.054245126,-0.30859417,-0.4247847,0.107062235,0.24770372
75356280,B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2C(C)C)C,Morgan fingerprints,6,0.35392246,0.2242722,0.12965025,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.15236738,0.2242722,-0.054233816,-0.28865394,-0.3081079,0.35392246,0.1662138
75486169,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2Cl)OC,Morgan fingerprints,7,0.35481215,0.20347378,0.15133837,0.3333333333333333,0.6666666666666667,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.07429827,0.20347378,0.028770234,-0.35656825,-0.39578667,0.19142218,0.35481215
75486307,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2N)C(F)(F)F)F,Morgan fingerprints,6,0.6851583,-0.06550809,0.7506664,0.3877551020408163,0.6122448979591837,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.17764811,-0.12533388,-0.19937037,-0.1913512,-0.06550809,0.6851583,-0.12538429
75486368,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2Cl)OC)N,Morgan fingerprints,7,0.37065238,0.21543427,0.15521811,0.3076923076923077,0.6923076923076923,12,SOFPB,[Si](C)(C)(C(C)(C)C)OC=1C=CC(=C(C1)B1OC(C)(C)C(C)(C)O1)F,SP2,benzene ring; boronate (B-O),-0.011063737,0.0155376885,0.03250743,-0.3122116,-0.37350905,0.21543427,0.37065238
75486588,B1(OC(C(O1)(C)C)(C)C)CCCC(=O)OC(C)(C)C,Morgan fingerprints,6,0.5327236,-0.0051964764,0.53792006,0.24390243902439024,0.7560975609756098,66,BEG-1,CC1(C(C)(OB(OCCCOB(OC2(C)C)OC(C)(C2(C)C)C)OC1(C)C)C)C,SP2; SP2,boronate (B-O),-0.05538472,-0.014825997,-0.099940866,-0.1523027,-0.22008322,0.5327236,-0.0051964764
75486865,B1(OC(C(O1)(C)C)(C)C)C2=C(N(N=C2)C)C=O,Morgan fingerprints,2,0.30396855,0.28006187,0.023906678,0.325,0.675,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.10730365,0.30396855,0.0070603327,-0.3689884,-0.3711293,0.21145092,0.28006187
