cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
25000391,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N2C)C,Random selection,6,0.6017433,0.18245038,0.4192929,-0.1473267,0.18245038,-0.14018369,-0.07617674,-0.17188516,0.6017433,-0.20276558
45785996,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)C3CCCCC3,Random selection,6,0.6370313,-0.066114135,0.70314544,-0.1887478,-0.09480894,-0.15765642,-0.2121499,-0.066114135,0.6370313,-0.18245389
3466040,B(C1=C(C=C(C=C1C)C)C)(C2=C(C=C(C=C2C)C)C)F,Random selection,6,0.6233711,0.088143386,0.5352277,-0.050262153,-0.01179506,-0.069489636,0.088143386,-0.17521535,0.6233711,-0.21495906
44784856,B1(OC(C(O1)(C)C)(C)C)C2=NC=CC=N2,Random selection,2,0.53812873,0.32762617,0.21050256,-0.124153696,0.53812873,-0.04838049,-0.15913439,-0.26120302,0.32762617,-0.110424235
72216257,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=N2)C=O)C(F)(F)F,Random selection,6,0.70944446,-0.061871797,0.7713163,-0.16039455,-0.061871797,-0.20189516,-0.094318695,-0.06441856,0.70944446,-0.24546476
45785938,B1(OC(C(O1)(C)C)(C)C)C2=CN=CS2,Random selection,6,0.5286,0.04844419,0.4801558,-0.14728108,0.04844419,-0.0433073,-0.2331156,-0.17959706,0.5286,-0.10292611
45786501,B1(OC(C(O1)(C)C)(C)C)C2=CN=C(C=C2)C3=CCCCC3,Random selection,6,0.5740473,-0.06433747,0.6383848,-0.12808341,-0.06433747,-0.12481649,-0.21472138,-0.12584513,0.5740473,-0.14729036
12496359,B(CCCCCCCC)(CCCCCCCC)C(C)(C)C(C)C,Random selection,5,0.6589523,0.015372575,0.6435797,-0.43982488,-0.55539054,-0.3240051,-0.18153556,0.6589523,0.015372575,-0.16480829
19048524,B(C1=CC=C(C=C1)Cl)(OC2=CC=C(C=C2)Cl)OC3=CC=C(C=C3)Cl,Random selection,3,0.46182328,0.25493613,0.20688716,0.1912916,0.25493613,0.46182328,-0.060885146,-0.4074095,-0.32896087,0.1792223
10934694,B(C1=C(C=C(C=C1C(C)C)C(C)C)C(C)C)(OC)OC,Random selection,1,0.6614152,0.14329867,0.51811653,0.6614152,-0.02833848,-0.020448983,0.14329867,-0.26553723,0.058574572,-0.13100833
58297400,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2OCC(=O)OC,Random selection,6,0.35610273,0.116266094,0.23983663,0.116266094,0.0041974643,0.03419789,-0.28607988,-0.311311,0.35610273,0.04656095
68252895,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(N=C2)N(N=C3C)C(=O)OC(C)(C)C,Random selection,6,0.58460075,0.08865008,0.49595067,-0.12535426,0.08865008,-0.13059147,-0.024692418,-0.18195826,0.58460075,-0.18713546
53397904,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CN=C2)C(F)(F)F,Random selection,6,0.7038721,0.0110264,0.6928457,-0.17623502,0.0110264,-0.1976224,-0.09651924,-0.06906353,0.7038721,-0.25980702
67434813,B1(OC(C(O1)(C)C)(C)C)C2=NN(C=C2)C3CCOC3,Random selection,6,0.6296088,0.037820145,0.59178865,-0.18503776,0.037820145,-0.13660234,-0.18712859,-0.09903977,0.6296088,-0.20386545
58179695,B1(OC(C(O1)(C)C)(C)C)C2=CCN(CCC2)C(=O)OC(C)(C)C,Random selection,6,0.5302144,0.23124957,0.29896486,0.23124957,-0.09897013,-0.10954838,-0.16901515,-0.19047496,0.5302144,-0.19408451
