cid,smiles,method,assigned_prototype,max_prototype_similarity,second_prototype_similarity,similarity_gap,known_additive_max_similarity,novelty_score,nearest_known_additive_index,nearest_known_additive_name,nearest_known_additive_smiles,nearest_known_additive_hybridization,nearest_known_additive_functional_groups,prototype_1_similarity,prototype_2_similarity,prototype_3_similarity,prototype_4_similarity,prototype_5_similarity,prototype_6_similarity,prototype_7_similarity
45786040,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)C3=CN=C(N=C3)N,USL encoder only,6,0.10228455,0.07218476,0.030099794,0.46153846153846156,0.5384615384615384,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.15573473,0.03315704,-0.13812375,-0.054655876,0.07218476,0.10228455,-0.014354978
14182,B(OC1=CC=CC=C1)(OC2=CC=CC=C2)OC3=CC=CC=C3,USL encoder only,6,0.10620958,0.103219084,0.0029904991,1.0,0.0,97,B(OPh)3,B(OC1=CC=CC=C1)(OC1=CC=CC=C1)OC1=CC=CC=C1,SP2,benzene ring; boronate (B-O),-0.018067205,-0.08644285,-0.11282926,-0.20400959,-0.0012144289,0.10620958,0.103219084
46739027,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)C(=O)N3CCCCC3,USL encoder only,2,0.08367547,0.07632216,0.007353306,0.3333333333333333,0.6666666666666667,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.12251411,0.08367547,-0.10346289,-0.05057418,0.028186824,0.07632216,0.0084981
4192663,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC=C2)N3CCOCC3,USL encoder only,2,0.08680542,0.065506116,0.021299303,0.36585365853658536,0.6341463414634146,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.11927645,0.08680542,-0.09563154,-0.04773739,0.02383518,0.065506116,0.016054662
45785733,B1(OC(C(O1)(C)C)(C)C)C2=CN=CC(=N2)N3CCCC3,USL encoder only,6,0.07945266,0.073079675,0.006372988,0.34146341463414637,0.6585365853658536,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.13959703,0.073079675,-0.111158356,-0.050185207,0.040663037,0.07945266,0.007850988
24880008,B1(OC(C(O1)(C)C)(C)C)C2=CN=CN2C3CCCCO3,USL encoder only,2,0.07794749,0.072675474,0.005272016,0.30434782608695654,0.6956521739130435,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.13499789,0.07794749,-0.1042155,-0.05003757,0.034288548,0.072675474,0.014857388
14195425,B(C1=C(C=C(C=C1C)C)C)(OCCCC)OCCCC,USL encoder only,6,0.11161039,0.03351157,0.07809882,0.5,0.5,71,MDMB,C1(=C(C(=CC(=C1)C)C)B(OC)OC)C,SP2,benzene ring; boronate (B-O),-0.071570545,-0.0776478,-0.08689024,-0.043734938,0.032752126,0.11161039,0.03351157
45361769,B1(OC(C(O1)(C)C)(C)C)C2=NC(=C(C=C2)OC)OC,USL encoder only,6,0.0774155,0.076530315,0.0008851886,0.3684210526315789,0.631578947368421,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.12252669,0.076530315,-0.09428344,-0.067109816,0.016748337,0.0774155,0.01002957
57356919,B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)NN=C3N,USL encoder only,6,0.096846454,0.055716626,0.041129827,0.41025641025641024,0.5897435897435898,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.1371788,0.051836718,-0.12692675,-0.05511974,0.055716626,0.096846454,-0.0118879005
45786377,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CO2)C3CCCC3,USL encoder only,2,0.083377615,0.07373318,0.009644434,0.2926829268292683,0.7073170731707317,59,DiOB-Py,CC1(OB(OC1(C)C)C1=CC=NC=C1)C,SP2,boronate (B-O),-0.122900814,0.083377615,-0.10070485,-0.047431797,0.030430008,0.07373318,0.011108445
