cid,doi,literature_type,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
5355539,US-9480166-B2,patent,C3H7BO2,B(/C=C\C)(O)O,00000371824030000000000000000000000000000000000000000000000000000000000000002818000008000008008000000200000000008000204200000000000000000800000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000,40.5,86.0539096,6,Other,0
11804697,CN-117855506-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,Other,0
11804697,CN-117895085-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-114824468-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-118173890-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-118173885-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-113135947-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-116947061-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,0
11804697,CN-118486845-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,Other,0
11804697,CN-110233289-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-115441052-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,LIB,1
11804697,CN-115995598-A,patent,C2H3BF3N,B(F)(F)F.CC#N,0000037102420180000000000000000000000000000000000000000000000000000000000000041C000000000000008100000200000000001004000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,23.8,109.0310638,7,SIB,1
