UMAP1,UMAP2,ID
-6.6245303,0.22503169,84100
-5.6436462,12.557977,46100
-6.7494764,-0.018380148,85100
-7.27243,2.510589,61100
-7.040507,-0.94584846,122100
-7.591902,5.662789,79100
-6.5633054,0.5199766,111100
-6.4205303,0.8762995,41100
-6.4152813,0.88639873,58100
-5.6265326,12.575862,90100
-7.6124945,5.6636767,48100
-6.680849,0.13311063,88100
-6.779622,-0.03484732,107100
-6.419167,0.86893326,57100
-7.0628886,-0.97899187,75100
-7.755968,4.832856,32100
-5.4562445,12.788087,118100
-7.7342496,4.857829,59100
-5.6325984,12.569716,63100
-7.27368,2.5111883,105100
-7.301386,2.5482593,37100
-7.6170564,5.6689014,29100
-7.2701855,2.5077236,112100
-7.5952744,5.6551504,1100
-6.7827177,-0.23444323,52100
-6.4418793,0.8428681,21100
-7.592357,5.6609855,2100
-6.763122,-0.025414748,23100
-6.4639525,0.7307657,103100
-5.496469,12.735758,99100
-6.62348,0.3491344,87100
-7.6016574,5.656203,114100
-6.60437,0.2879873,74100
-6.5209155,0.62053233,86100
-6.6683173,0.19065984,82100
-5.635345,12.567246,125100
-7.6132584,5.66302,20100
-6.641435,0.2865717,60100
-6.497544,0.7324215,71100
-6.5090632,0.80730546,106100
-7.7493634,4.840168,14100
-7.755551,4.833434,92100
-7.023581,-0.9043523,51100
-7.283528,2.5241501,102100
-7.2732344,2.5107737,73
-7.677633,4.9444027,19
-7.7521186,4.8378325,116
-6.795394,-0.43873549,67
-7.058758,-0.9726646,94
-7.062523,-0.97828984,77
-5.5264235,12.70739,31
-5.430768,12.819247,53
-7.588639,5.654848,117
-6.438134,0.84827095,44
-7.2736683,2.5169759,4
-7.755356,4.8339014,104
-7.2560935,2.483671,36
-6.62799,0.21642895,97
-6.4625006,0.732468,78
-6.7749305,-0.028238878,18
-6.4141245,0.80647326,91
-7.6566453,5.000056,10
-6.6824837,0.13011599,55
-6.429625,0.8426367,11
-7.0609336,-0.97579956,45
-7.62164,5.673203,26
-6.6939216,0.10138239,76
-7.0625668,-0.9782281,56
-7.597994,5.654626,40
-7.272455,2.5101268,73000
-7.689745,4.9293103,19000
-7.7510185,4.839227,116000
-6.7954025,-0.43879288,67000
-7.057538,-0.97090507,94000
-7.0482016,-0.9568258,77000
-5.527901,12.704286,31000
-5.4363604,12.812621,53000
-7.594024,5.652583,117000
-6.4370008,0.8596083,44000
-7.267136,2.5072339,4000
