molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
16010,7,[],0.5186136,-8.052764
79010,7,[],1.6072143,-9.340715
48010,7,[],1.3186802,-7.7009106
29010,7,[],0.9897456,-7.798372
1010,7,[],0.6908242,-7.8720994
2010,7,[],0.7755621,-8.388915
114010,7,[],0.825499,-8.240035
20010,7,[],0.7175784,-7.7886314
27011,7,[],1.362067,-9.070548
22011,7,[],1.3815248,-8.843534
64011,7,[],1.3387254,-8.587772
16011,7,[],0.55644405,-8.012315
72011,7,[],0.58940876,-7.8323045
79011,7,[],1.5814188,-9.288057
48011,7,[],1.5006071,-8.012978
29011,7,[],1.4644386,-8.033625
1011,7,[],1.4429543,-8.738313
2011,7,[],1.5120338,-9.049901
114011,7,[],1.336336,-8.721631
20011,7,[],1.5756627,-8.039358
27100,7,[],1.4209876,-8.909658
22100,7,[],1.2297586,-9.145891
64100,7,[],-0.40346035,-9.210526
16100,7,[],-0.1109942,-8.704629
79100,7,[],1.6047956,-9.395468
48100,7,[],-0.77594566,-8.462878
29100,7,[],-0.80936944,-8.487174
1100,7,[],-0.4867738,-9.241762
2100,7,[],-0.4700795,-9.16021
114100,7,[],-0.56464964,-9.077706
20100,7,[],-0.76849335,-8.472413
117,7,['TEBx'],-0.36684212,-9.27091
26,7,['HBC'],-0.8168802,-8.477506
0,7,['TMSB'],-0.42718583,-9.317382
26000,7,[],-0.8644842,-8.544648
0,7,['TMSB'],-0.5066229,-9.333019
117001,7,[],-0.2565504,-9.228687
26001,7,[],-0.922318,-8.578096
1,7,['TCEB'],-0.43385378,-9.283801
117010,7,[],-0.47314355,-9.007687
26010,7,[],-0.7903548,-8.487878
10,7,['ITD'],-0.5711597,-9.120418
117011,7,[],-0.3596167,-9.21948
26011,7,[],-0.8806483,-8.549958
11,7,['LBO'],-0.4346892,-9.355678
117100,7,[],-0.57192165,-9.237153
26100,7,[],-0.85868675,-8.505558
100,7,['PBA'],-0.5014022,-9.307974
