molecule_id,prototypes,molecule_name,UMAP_x,UMAP_y
17010,2,[],-4.00955,19.1006
81010,2,[],-0.96552217,15.100427
108010,2,[],-1.8139304,18.033543
46010,2,[],-1.744493,18.048698
90010,2,[],-3.2470045,19.0119
63010,2,[],-3.9984264,19.158886
99010,2,[],-3.2758093,19.051947
125010,2,[],-3.905349,19.082315
68011,2,[],-2.1766348,16.702919
123011,2,[],-2.1412902,16.665916
42011,2,[],-4.032597,18.876621
119011,2,[],-2.1746597,16.705078
93011,2,[],-2.1064892,16.862772
17011,2,[],-2.2485695,16.754156
81011,2,[],-1.2658973,15.464004
108011,2,[],-2.1474848,16.835798
46011,2,[],-2.1319087,16.88193
90011,2,[],-2.1534712,16.68478
63011,2,[],-2.1648302,16.670025
99011,2,[],-2.1700294,16.688719
125011,2,[],-2.1208389,16.64512
68100,2,[],-3.8527882,19.097748
123100,2,[],-3.186366,19.156984
42100,2,[],-4.004183,18.932854
119100,2,[],-3.4664137,18.106735
13100,2,[],-1.2772264,15.586192
93100,2,[],-3.4392405,18.084057
17100,2,[],-3.4726512,18.154947
81100,2,[],-1.2161435,15.454177
108100,2,[],-3.2889426,17.936798
46100,2,[],-3.3363,17.973616
90100,2,[],-3.524435,18.165215
118100,2,[],-1.4430338,15.74795
63100,2,[],-3.4900274,18.137405
99100,2,[],-3.4850667,18.125765
125100,2,[],-3.5466986,18.191692
31,2,['(C3HF6O)2B(C6H3F2)'],-1.1270252,15.307589
53,2,['(C6F12)O2B(C6F5)'],-1.0038062,15.154302
31000,2,[],-1.1576039,15.2997875
53000,2,[],-1.0639155,15.314832
31001,2,[],-1.2628652,15.389771
53001,2,[],-1.0391816,15.1738205
31011,2,[],-1.2012507,15.472781
53011,2,[],-1.115753,15.4433155
31100,2,[],-1.1880462,15.324576
24,3,['NHCABT'],7.811774,15.117353
47,3,['BF3·DE'],7.7478957,15.01434
22,3,['TME'],6.4886518,16.867357
64,3,['TPB'],6.531488,16.90678
80,3,['B-HEMA'],6.396115,17.629202
120,3,['BF₃·DE'],7.760275,15.067616
43,3,['BF3-THF'],6.5383816,16.737581
72,3,['TAB'],6.3577805,17.394543
48,3,['BPC'],6.2476034,17.897652
29,3,['LBC'],6.2607985,17.897171
1,3,['TCEB'],6.5478272,17.019117
114,3,['TBB'],6.465663,16.857052
20,3,['L-LiMCFB'],6.429886,17.628355
24000,3,[],7.8326745,15.16985
47000,3,[],7.7204933,15.149766
22000,3,[],6.559483,16.78
64000,3,[],6.605032,16.82348
80000,3,[],6.3927393,17.597345
120000,3,[],7.832985,15.0915575
43000,3,[],6.450541,16.860535
72000,3,[],6.4050107,17.153364
48000,3,[],6.2874517,17.905008
29000,3,[],6.262408,17.866127
1000,3,[],6.5255404,16.979187
114000,3,[],6.489564,16.976492
20000,3,[],6.304106,17.64589
24001,3,[],7.8087287,15.1496935
