UMAP1,UMAP2,additives,SMILES
-5.372399,6.109249,TAB,O=C(C(C)=C)OCCO[B](OCCOCC=C)OCCOCC=C
-4.36743,2.5481625,LiBOB,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2
-4.7139215,3.5768108,3F-PBF,F[B-](F)(F)[N+]1=CC=CC(F)=C1
-3.7809734,0.9994019,TPF,FC1=C(C(=C(C(=C1B(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F
-3.288297,2.2490075,LBBB,[Li+].[B-]12(OC3=CC=CC=C3O1)OC4=CC=CC=C4O2
-3.7835917,0.9963442,TFPB,B(C1=C(C(=C(C(=C1F)F)F)F)F)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F
-4.719787,3.576582,LUTID,F[B-]([N+]1=CC(C)=C(C)C=C1)(F)F
-5.372584,6.3824053,TMB,B1(OB(OB(O1)C)C)C
-5.6343794,6.04507,B-HEMA,C=C(C(OCCOB(OCCOC(C(C)=C)=O)OCCOC(C(C)=C)=O)=O)C
8.278691,3.5650136,(C6F12)O2B(C6H3F2),Fc1cc(B2OC(C(F)(F)F)(C(F)(F)F)C(C(F)(F)F)(C(F)(F)F)O2)cc(F)c1
-2.4403648,1.8507504,(C6F4)O2B(C7H3F6),FC(c1c(B2Oc3c(O2)cccc3)cccc1)(F)F.[F]
8.336222,3.884675,DPD-CN,C(#N)C1=C(C=CC=C1)B1OCC(CO1)(C)C
-3.8546317,2.695121,LiBPh4,C1([B-](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4)=CC=CC=C1.[Li+]
-4.1225348,2.4359808,3-MLBSB,O=C(O[B-]12OC3=C(C)C=CC=C3C(O2)=O)C4=C(O1)C(C)=CC=C4.[Li+]
-4.6780963,4.4486723,PBF,B(F)(F)F.N1=CC=CC=C1
-3.0797129,-6.0294337,NaTFPB,[B-](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)(C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C4=CC(=CC(=C4)C(F)(F)F)C(F)(F)F.[Na+]  
-2.5264807,2.0406313,(C6F4)O2B(C6H4F),Fc1ccc(B2Oc3c(O2)cccc3)cc1.[F]
-3.7757752,2.2933328,Li[BScB],O=C1C2=CC=CC=C2O[B-](OC3=C4C=CC=C3)(OC4=O)O1.[Li+]
-4.5243344,4.4480224,THFB,[B-](OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F
-4.743969,3.5478137,TRIZIN,F[B-](F)(F)[N+]1=C[N+]([B-](F)(F)F)=C[N+]([B-](F)(F)F)=C1
8.351062,3.867281,DPD-F,CC1(COB(OC1)C1=C(C=CC=C1)F)C
