epoch,mean_drift_acceleration,std_drift_acceleration_across_trials,smooth_mean_drift_acceleration,smooth_std_drift_acceleration_across_trials
61,4.1782996e-06,8.078845e-06,9.310962354902585e-07,8.920382401811367e-06
62,4.392682e-06,9.755392e-06,4.1871578844165923e-07,7.917481957520067e-06
63,3.3493598e-07,5.2208698e-06,1.5525553180850694e-07,6.927433491910051e-06
64,-7.6761523e-07,6.761939e-06,7.415389745801803e-07,6.957066739232687e-06
65,-1.2867245e-06,3.7589778e-06,6.490161354122392e-07,6.964885028537538e-06
66,-4.8839656e-06,8.3604e-06,3.6604515116778204e-07,6.809595311096927e-06
67,-2.2426423e-06,6.731645e-06,-3.7681852518289814e-07,6.707069292133383e-06
68,4.1177273e-06,4.6947957e-06,-1.5527858067798661e-06,6.78285184676497e-06
69,1.6361831e-06,9.699976e-06,-2.2497140889754517e-06,6.901049641783175e-06
70,-1.8184289e-06,5.033113e-06,-1.883766037735768e-06,7.3015203952309095e-06
71,-3.2503372e-06,7.053585e-06,-1.4891241676195931e-06,7.714690946158953e-06
72,-7.3669908e-06,1.0513218e-05,-9.068561894309824e-07,7.467023806384532e-06
73,-6.634347e-06,6.4028477e-06,-1.2578224414028226e-06,7.4823500654019884e-06
74,2.8918653e-06,1.07666465e-05,-1.842805102114653e-06,7.693660381846713e-06
