cid,smiles,_recommend_original_order,_cid_key,excel_cid,excel_formula,excel_SMILES,excel_fingerprint,excel_topological,excel_weight,excel_heavy_atom,excel_label,excel_CAS,excel_price,excel_link,excel__excel_original_order,sim_to_NP1,sim_to_NP2,sim_to_NP3,sim_to_NP4,sim_to_NP5,sim_to_NP6,sim_to_NP7,assigned_prototype,assigned_prototype_label,max_prototype_similarity,similarity_rank,x,x_label
11727684,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,9,11727684,11727684,C12BF10,[B](C1=C(C(=C(C(=C1F)F)F)F)F)C2=C(C(=C(C(=C2F)F)F)F)F,00000371027001C00000000000000000000000000000000000003060000000000000000140002009000000000008000010080000800000008000004000000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,0.0,344.9933368,23,6,165612-94-2,3750/g,165612-94-2_165612-94-2厂家、报价、现货 - 百灵威,42,-0.20712128,-0.20385848,-0.2839054,-0.17198756,0.08912805,0.8056677,-0.31397423,6,NP6,0.8056677,23,23,11727684
71447200,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,32,71447200,71447200,C6BF15,B(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,0.0,367.85,22,6,329009-01-0,,,52,-0.21108285,-0.20079362,-0.2798139,-0.17295271,0.088059336,0.8052476,-0.31108022,6,NP6,0.8052476,24,24,71447200
11327649,B(C1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,69,11327649,11327649,C18H5BF10,B(C1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,422.0,29,6,148892-98-2,,,56,-0.21235548,-0.21330026,-0.2811593,-0.18211617,0.09153543,0.80516845,-0.30952102,6,NP6,0.80516845,25,25,11327649
13789232,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,25,13789232,13789232,C6H4B2Cl4,B(C1=CC=CC=C1B(Cl)Cl)(Cl)Cl,,0.0,239.5,12,1,107134-81-6,,,12,0.8051367,0.06196086,0.19602929,-0.2456863,-0.4369238,-0.29198852,0.20956925,1,NP1,0.8051367,26,26,13789232
22338812,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,3,22338812,22338812,C13H13BF2O3,B(OC1=C(CCC2=C1C=CC(=C2)OC)C(=O)C)(F)F,00000371C27031800000000000000000000000000000000000003040000000000000008100000C1A00000000000C048098023206800004008802A05200000208002020000888010608C80C263284311A80302024C01108A90788E8FC8EA0000100001000004000020000200000000000000000,35.5,266.0925808,19,1,55923-08-5,,,7,0.8051332,0.008170412,0.029911697,-0.15410343,-0.2988557,-0.070699826,-0.037018787,1,NP1,0.8051332,27,27,22338812
425307,B(OC(=O)C)(OC(=O)C)OC(=O)C,8,425307,425307,C6H9BO6,B(OC(=O)C)(OC(=O)C)OC(=O)C,00000371C2603800000000000000000000000000000000000000000000000000000000000000081A000000000000008080000208000000000800009008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,78.9,188.0492182,13,1,4887-24-5,,,5,0.80499405,-0.022534622,0.026970515,-0.16560267,-0.20729181,-0.13484414,-0.04418635,1,NP1,0.80499405,28,28,425307
2736203,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,2,2736203,2736203,C9H3BF18O3,B(OC(C(F)(F)F)C(F)(F)F)(OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F,,0.0,511.9,31,6,6919-80-8,102.9/100mg,6919-80-8 的搜索结果,63,-0.20187286,-0.20297216,-0.2883137,-0.15367623,0.08348346,0.80484116,-0.32322618,6,NP6,0.80484116,29,29,2736203
75360847,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,29,75360847,75360847,C9H6BF15O3,B(OCC(C(F)(F)F)(F)F)(OCC(C(F)(F)F)(F)F)OCC(C(F)(F)F)(F)F,00000371827031C0000000000000000000000000000000000000000000000000000000000000081B00000000000800A080120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,458.0170466,28,6,2003-04-5,1430/250mg,2003-04-5_2003-04-5厂家、报价、现货 - 百灵威,43,-0.20329326,-0.2015835,-0.28398943,-0.14256972,0.080827706,0.804656,-0.32212037,6,NP6,0.804656,30,30,75360847
15520532,B(C)(C)C1=C(C(=C(C(=C1F)F)F)F)F,44,15520532,15520532,C8H6BF5,B(C)(C)C1=C(C(=C(C(=C1F)F)F)F)F,,0.0,207.94,14,6,363596-54-7,,,48,-0.2010303,-0.2054165,-0.28376678,-0.17544702,0.088125035,0.8046157,-0.31080663,6,NP6,0.8046157,31,31,15520532
15605783,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC(C)C)OC(C)C,43,15605783,15605783,C12H14BF5O2,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC(C)C)OC(C)C,00000371C27031C0000000000000000000000000000000000000300000000000000000010000281B00000000000814A0900A0200800000008000004000000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,18.5,296.1007007,20,6,267006-38-2,,,39,-0.199747,-0.2125199,-0.29057273,-0.16432638,0.08698343,0.8044784,-0.31338504,6,NP6,0.8044784,32,32,15605783
54472851,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,47,54472851,54472851,C12H6BF21O3,B(OCC(C(C(F)(F)F)(F)F)(F)F)(OCC(C(C(F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,,0.0,607.95,37,6,755-53-3,3784/g,755-53-3_755-53-3厂家、报价、现货 - 百灵威,64,-0.20734183,-0.20109631,-0.28230336,-0.15749718,0.08309265,0.8043332,-0.31543827,6,NP6,0.8043332,33,33,54472851
71350376,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,18,71350376,71350376,C20H7BF10,B(C=CC1=CC=CC=C1)(C2=C(C(=C(C(=C2F)F)F)F)F)C3=C(C(=C(C(=C3F)F)F)F)F,,0.0,448.1,31,6,165612-90-8,,,53,-0.21128821,-0.21568516,-0.28054196,-0.18767743,0.091757484,0.80394095,-0.30551296,6,NP6,0.80394095,34,34,71350376
517955,B(C)(C)CC,67,517955,517955,C4H11B,B(C)(C)CC,,0.0,69.94,5,1,1113-22-0,,,9,0.80289143,-0.01445186,0.010702183,-0.09106358,-0.21555208,-0.16816609,-0.035582434,1,NP1,0.80289143,35,35,517955
52915087,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,57,52915087,52915087,C9H9BF12O3,B(OCC(C(F)F)(F)F)(OCC(C(F)F)(F)F)OCC(C(F)F)(F)F,,0.0,403.96,25,6,2317-76-2,3388/g,2317-76-2_2317-76-2厂家、报价、现货 - 百灵威,66,-0.18449624,-0.21126862,-0.28736815,-0.13743451,0.076677606,0.80188894,-0.32630086,6,NP6,0.80188894,36,36,52915087
12626668,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,52,12626668,12626668,C6BCl2F5,B(C1=C(C(=C(C(=C1F)F)F)F)F)(Cl)Cl,,0.0,248.77,14,6,830-48-8,,,46,-0.19029498,-0.20154685,-0.2779794,-0.16575427,0.07818176,0.80061734,-0.30907992,6,NP6,0.80061734,37,37,12626668
15887311,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,65,15887311,15887311,C18BF15O3,B(OC1=C(C(=C(C(=C1F)F)F)F)F)(OC2=C(C(=C(C(=C2F)F)F)F)F)OC3=C(C(=C(C(=C3F)F)F)F)F,,0.0,560.0,37,6,146355-12-6,,,65,-0.19241703,-0.19490497,-0.2734379,-0.16557942,0.07226531,0.797373,-0.30565232,6,NP6,0.797373,38,38,15887311
12418354,B(C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,42,12418354,12418354,C12H23BO2Si2,B(C1=CC=CC=C1)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000003000000000000000000100002818100000400008008010007200800000018000204200000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,18.5,266.1329632,17,1,7560-51-2,,,6,0.7973033,-0.040877644,0.07001129,-0.17710021,-0.25003532,-0.22757213,0.033559337,1,NP1,0.7973033,39,39,12418354
4121732,B(N1CCCC1)(N2CCCC2)N3CCCC3,24,4121732,4121732,C12H24BN3,B(N1CCCC1)(N2CCCC2)N3CCCC3,,0.0,221.15,16,6,4426-24-8,391.9/g,4426-24-8 的搜索结果,55,-0.15707222,-0.30865338,-0.31715995,-0.17433982,0.1499633,0.79679537,-0.38747203,6,NP6,0.79679537,40,40,4121732
18373965,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC,6,18373965,18373965,C8H6BF5O2,B(C1=C(C(=C(C(=C1F)F)F)F)F)(OC)OC,00000371827031C0000000000000000000000000000000000000300000000000000000010000281B0000000000080000100A0200800000008000004000000200002000000088000000880820228010108020002080000888070000000000000000000000000000000000000000000000000000,18.5,240.0381004,16,6,848609-02-9,,,40,-0.17832924,-0.19515415,-0.27923915,-0.1534034,0.06691978,0.7956427,-0.3086216,6,NP6,0.7956427,41,41,18373965
3599767,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,20,3599767,3599767,C6H6BF9O3,B(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,,0.0,307.91,19,6,659-18-7,45.9/200mg,659-18-7 的搜索结果,61,-0.16529627,-0.19087687,-0.27844188,-0.11803224,0.055901058,0.7924919,-0.31795022,6,NP6,0.7924919,42,42,3599767
