x,y,group
-0.7612781,10.33468,Unlabeled
0.94278324,15.595489,Unlabeled
3.5817096,10.309058,Unlabeled
3.0846603,8.342494,Unlabeled
-3.3462389,8.225463,Unlabeled
0.6569552,11.492991,Unlabeled
-0.97561353,9.374986,Unlabeled
-7.791902,9.628917,Unlabeled
2.1635065,13.664608,Unlabeled
-1.6181434,10.609283,Unlabeled
-2.8583088,5.5815153,Unlabeled
-2.8095124,7.041481,Unlabeled
0.5943881,8.20168,Unlabeled
-2.104652,4.385481,Unlabeled
0.9911761,13.060138,Unlabeled
-0.05814364,11.921209,Unlabeled
-1.3367776,13.021716,Unlabeled
-0.29849955,9.595281,Unlabeled
0.6393037,11.822959,Unlabeled
-5.954968,17.823551,Unlabeled
-1.8271803,12.601596,Unlabeled
1.373671,10.170035,Unlabeled
-1.4816461,10.647918,Unlabeled
-4.7232695,5.6061935,Unlabeled
2.929323,9.342116,Unlabeled
-0.85653996,9.939586,Unlabeled
-0.8465389,6.995108,Unlabeled
-4.870825,12.661239,Unlabeled
-2.4342394,8.58536,Unlabeled
2.9656816,11.403922,Unlabeled
6.2434306,12.148104,Unlabeled
-3.0066662,9.099879,Unlabeled
-0.663478,10.185788,Unlabeled
-4.311008,10.828673,Unlabeled
0.06845655,7.373539,Unlabeled
0.6019621,17.32861,Unlabeled
-2.5436156,7.450779,Unlabeled
2.044576,14.071716,Unlabeled
3.4472752,10.051262,Unlabeled
-7.359754,10.781345,Unlabeled
-1.6799313,8.766141,Unlabeled
-2.4848073,9.067793,Unlabeled
4.4699554,9.8417845,Unlabeled
2.7598403,10.455474,Unlabeled
-2.7040982,9.019502,Unlabeled
-1.147101,7.727388,Unlabeled
3.4689236,11.466103,Unlabeled
-8.532908,10.042871,Unlabeled
-2.6079707,7.350287,Unlabeled
3.820239,10.850835,Unlabeled
-0.5774981,13.163844,Unlabeled
-4.8423486,12.636056,Unlabeled
-6.965817,8.228923,Unlabeled
-0.3854339,10.831894,Unlabeled
-4.867991,12.638001,Unlabeled
0.32769924,9.762558,Unlabeled
-3.0493968,8.655183,Unlabeled
-3.4347696,3.57137,Unlabeled
-1.4083179,6.5518517,Unlabeled
1.7600194,10.599308,Unlabeled
-2.367379,4.43697,Unlabeled
-2.509564,9.598655,Unlabeled
-0.4265239,9.484167,Unlabeled
-1.761875,3.6048021,Unlabeled
0.14552087,9.977186,Unlabeled
-2.7288136,9.086167,Unlabeled
-0.55315095,11.297586,Unlabeled
0.42342722,9.790931,Unlabeled
1.5053988,11.404717,Unlabeled
-0.48563293,10.535787,Unlabeled
-1.32816,6.153682,Unlabeled
-0.96336764,12.172986,Unlabeled
2.3963275,14.174866,Unlabeled
-2.5915473,9.29289,Unlabeled
1.8064781,16.608025,Unlabeled
-1.3978893,12.652068,Unlabeled
-1.797236,7.440729,Unlabeled
1.4884869,9.235424,Unlabeled
-3.3897212,6.326817,Unlabeled
2.5189984,15.000834,Unlabeled
0.8821239,16.5022,Unlabeled
-1.143724,13.27162,Unlabeled
0.38024536,17.134554,Unlabeled
6.287804,12.131079,Unlabeled
0.9202703,17.616627,Unlabeled
1.0607214,11.475463,Unlabeled
-2.7272449,11.8745985,Unlabeled
-2.726589,8.548522,Unlabeled
-0.7438861,10.411267,Unlabeled
2.5163567,13.530662,Unlabeled
-0.7598724,12.448307,Unlabeled
3.9198673,10.817889,Unlabeled
0.8445944,16.68034,Unlabeled
