similarity_rank,cid,prototype,prototype_label,x_center,bar_width,similarity,assigned_prototype,assigned_prototype_label,max_prototype_similarity
18,23115783,3,NP3,16.882857142857144,0.10777142857142856,0.8070676326751709,3,NP3,0.8070676326751709
18,23115783,4,NP4,17.0,0.10777142857142856,-0.1600770205259323,3,NP3,0.8070676326751709
18,23115783,5,NP5,17.117142857142856,0.10777142857142856,-0.25805914402008057,3,NP3,0.8070676326751709
18,23115783,6,NP6,17.234285714285715,0.10777142857142856,-0.21059298515319824,3,NP3,0.8070676326751709
18,23115783,7,NP7,17.35142857142857,0.10777142857142856,-0.01940210349857807,3,NP3,0.8070676326751709
19,71420187,1,NP1,17.64857142857143,0.10777142857142856,-0.21837694942951202,6,NP6,0.8070154786109924
19,71420187,2,NP2,17.765714285714285,0.10777142857142856,-0.22248904407024384,6,NP6,0.8070154786109924
19,71420187,3,NP3,17.882857142857144,0.10777142857142856,-0.27061402797698975,6,NP6,0.8070154786109924
19,71420187,4,NP4,18.0,0.10777142857142856,-0.17197605967521667,6,NP6,0.8070154786109924
19,71420187,5,NP5,18.117142857142856,0.10777142857142856,0.09538452327251434,6,NP6,0.8070154786109924
19,71420187,6,NP6,18.234285714285715,0.10777142857142856,0.8070154786109924,6,NP6,0.8070154786109924
19,71420187,7,NP7,18.35142857142857,0.10777142857142856,-0.30451443791389465,6,NP6,0.8070154786109924
20,11115716,1,NP1,18.64857142857143,0.10777142857142856,-0.20737889409065247,6,NP6,0.8066542744636536
20,11115716,2,NP2,18.765714285714285,0.10777142857142856,-0.20760662853717804,6,NP6,0.8066542744636536
20,11115716,3,NP3,18.882857142857144,0.10777142857142856,-0.28533315658569336,6,NP6,0.8066542744636536
20,11115716,4,NP4,19.0,0.10777142857142856,-0.17706726491451263,6,NP6,0.8066542744636536
20,11115716,5,NP5,19.117142857142856,0.10777142857142856,0.09229511767625809,6,NP6,0.8066542744636536
