prototype,prototype_label,prototype_rank,x_center,bar_width,cid,similarity,similarity_column,assigned_prototype,assigned_prototype_label,max_prototype_similarity
2,NP2,40,39,0.72,582056,-0.21443161368370056,sim_to_NP2,6,NP6,0.8100593686103821
2,NP2,41,40,0.72,12159360,-0.21465228497982025,sim_to_NP2,6,NP6,0.8109763860702515
2,NP2,42,41,0.72,10959856,-0.2149513065814972,sim_to_NP2,6,NP6,0.8088399171829224
2,NP2,43,42,0.72,71350376,-0.2156851589679718,sim_to_NP2,6,NP6,0.8039409518241882
2,NP2,44,43,0.72,22722373,-0.21603776514530182,sim_to_NP2,6,NP6,0.7892118096351624
2,NP2,45,44,0.72,71420187,-0.22248904407024384,sim_to_NP2,6,NP6,0.8070154786109924
2,NP2,46,45,0.72,10876447,-0.2269810289144516,sim_to_NP2,6,NP6,0.8165456056594849
2,NP2,47,46,0.72,11050988,-0.2302311360836029,sim_to_NP2,6,NP6,0.8198520541191101
2,NP2,48,47,0.72,4072412,-0.298209547996521,sim_to_NP2,6,NP6,0.7814565300941467
2,NP2,49,48,0.72,4121732,-0.3086533844470978,sim_to_NP2,6,NP6,0.7967953681945801
2,NP2,50,49,0.72,17177,-0.509516716003418,sim_to_NP2,5,NP5,0.7240414023399353
2,NP2,51,50,0.72,219443,-0.5146949291229248,sim_to_NP2,5,NP5,0.7481650114059448
2,NP2,52,51,0.72,71384845,-0.5192915797233582,sim_to_NP2,5,NP5,0.7499092221260071
2,NP2,53,52,0.72,21424,-0.5204837918281555,sim_to_NP2,5,NP5,0.740737795829773
2,NP2,54,53,0.72,13680388,-0.5219787359237671,sim_to_NP2,5,NP5,0.7400968074798584
2,NP2,55,54,0.72,71384846,-0.5233081579208374,sim_to_NP2,5,NP5,0.7469909191131592
2,NP2,56,55,0.72,71386315,-0.5265123248100281,sim_to_NP2,5,NP5,0.7300816178321838
2,NP2,57,56,0.72,21425,-0.5326462388038635,sim_to_NP2,5,NP5,0.7137600779533386
2,NP2,58,57,0.72,122587,-0.5332973599433899,sim_to_NP2,5,NP5,0.749528169631958
2,NP2,59,58,0.72,71334465,-0.5371342301368713,sim_to_NP2,5,NP5,0.7374493479728699
2,NP2,60,59,0.72,108841,-0.5387621521949768,sim_to_NP2,5,NP5,0.7489742040634155
2,NP2,61,60,0.72,352104,-0.541935384273529,sim_to_NP2,5,NP5,0.7332116961479187
2,NP2,62,61,0.72,71346374,-0.5657559037208557,sim_to_NP2,5,NP5,0.7494205236434937
3,NP3,1,0,0.72,23115783,0.8070676326751709,sim_to_NP3,3,NP3,0.8070676326751709
3,NP3,2,1,0.72,25112575,0.7904896140098572,sim_to_NP3,3,NP3,0.7904896140098572
3,NP3,3,2,0.72,58489416,0.7882561683654785,sim_to_NP3,3,NP3,0.7882561683654785
3,NP3,4,3,0.72,58050304,0.7838299870491028,sim_to_NP3,3,NP3,0.7838299870491028
3,NP3,5,4,0.72,13789232,0.19602929055690765,sim_to_NP3,1,NP1,0.8051366806030273
3,NP3,6,5,0.72,15877487,0.1768212765455246,sim_to_NP3,1,NP1,0.7923678755760193
3,NP3,7,6,0.72,12418354,0.07001128792762756,sim_to_NP3,1,NP1,0.797303318977356
3,NP3,8,7,0.72,71390453,0.05292756110429764,sim_to_NP3,1,NP1,0.8121702075004578
3,NP3,9,8,0.72,11522786,0.05070241540670395,sim_to_NP3,2,NP2,0.832434356212616
3,NP3,10,9,0.72,57041839,0.04817860946059227,sim_to_NP3,1,NP1,0.8060087561607361
3,NP3,11,10,0.72,15158954,0.03979513794183731,sim_to_NP3,2,NP2,0.8277093172073364
3,NP3,12,11,0.72,68979,0.03956887125968933,sim_to_NP3,1,NP1,0.821772038936615
3,NP3,13,12,0.72,22663171,0.035155605524778366,sim_to_NP3,2,NP2,0.8276228308677673
3,NP3,14,13,0.72,11090867,0.03421145677566528,sim_to_NP3,1,NP1,0.8114612698554993
3,NP3,15,14,0.72,78020,0.033241890370845795,sim_to_NP3,1,NP1,0.814348578453064
3,NP3,16,15,0.72,22338812,0.029911696910858154,sim_to_NP3,1,NP1,0.8051332235336304
3,NP3,17,16,0.72,25068199,0.0297631174325943,sim_to_NP3,1,NP1,0.8071501851081848
3,NP3,18,17,0.72,138247,0.029609087854623795,sim_to_NP3,1,NP1,0.8198220133781433
3,NP3,19,18,0.72,425307,0.02697051502764225,sim_to_NP3,1,NP1,0.8049940466880798
3,NP3,20,19,0.72,517955,0.010702182538807392,sim_to_NP3,1,NP1,0.8028914332389832
3,NP3,21,20,0.72,66709077,0.008636617101728916,sim_to_NP3,2,NP2,0.8216898441314697
3,NP3,22,21,0.72,22722373,-0.25857841968536377,sim_to_NP3,6,NP6,0.7892118096351624
3,NP3,23,22,0.72,71420187,-0.27061402797698975,sim_to_NP3,6,NP6,0.8070154786109924
3,NP3,24,23,0.72,15887311,-0.27343788743019104,sim_to_NP3,6,NP6,0.7973729968070984
3,NP3,25,24,0.72,144241,-0.2776421904563904,sim_to_NP3,6,NP6,0.7848109602928162
3,NP3,26,25,0.72,12626668,-0.27797940373420715,sim_to_NP3,6,NP6,0.8006173372268677
3,NP3,27,26,0.72,3599767,-0.2784418761730194,sim_to_NP3,6,NP6,0.7924919128417969
3,NP3,28,27,0.72,18373965,-0.27923914790153503,sim_to_NP3,6,NP6,0.7956426739692688
3,NP3,29,28,0.72,71447200,-0.27981388568878174,sim_to_NP3,6,NP6,0.8052476048469543
3,NP3,30,29,0.72,71350376,-0.28054195642471313,sim_to_NP3,6,NP6,0.8039409518241882
3,NP3,31,30,0.72,11327649,-0.28115931153297424,sim_to_NP3,6,NP6,0.8051684498786926
3,NP3,32,31,0.72,54472851,-0.2823033630847931,sim_to_NP3,6,NP6,0.8043332099914551
3,NP3,33,32,0.72,18329245,-0.28242072463035583,sim_to_NP3,6,NP6,0.806633472442627
3,NP3,34,33,0.72,15520532,-0.2837667763233185,sim_to_NP3,6,NP6,0.8046156764030457
3,NP3,35,34,0.72,11727684,-0.28390538692474365,sim_to_NP3,6,NP6,0.8056676983833313
3,NP3,36,35,0.72,75360847,-0.28398942947387695,sim_to_NP3,6,NP6,0.8046560287475586
3,NP3,37,36,0.72,11115716,-0.28533315658569336,sim_to_NP3,6,NP6,0.8066542744636536
3,NP3,38,37,0.72,71428744,-0.2862025201320648,sim_to_NP3,6,NP6,0.8082640171051025
3,NP3,39,38,0.72,4438527,-0.2871662676334381,sim_to_NP3,6,NP6,0.8084468841552734
3,NP3,40,39,0.72,52915087,-0.28736814856529236,sim_to_NP3,6,NP6,0.8018889427185059
3,NP3,41,40,0.72,10959856,-0.28798168897628784,sim_to_NP3,6,NP6,0.8088399171829224
3,NP3,42,41,0.72,2736203,-0.28831368684768677,sim_to_NP3,6,NP6,0.804841160774231
3,NP3,43,42,0.72,582056,-0.28972113132476807,sim_to_NP3,6,NP6,0.8100593686103821
3,NP3,44,43,0.72,12159360,-0.2904151976108551,sim_to_NP3,6,NP6,0.8109763860702515
3,NP3,45,44,0.72,15605783,-0.29057273268699646,sim_to_NP3,6,NP6,0.8044784069061279
3,NP3,46,45,0.72,10876447,-0.3030053675174713,sim_to_NP3,6,NP6,0.8165456056594849
3,NP3,47,46,0.72,4072412,-0.30368295311927795,sim_to_NP3,6,NP6,0.7814565300941467
3,NP3,48,47,0.72,11050988,-0.30631187558174133,sim_to_NP3,6,NP6,0.8198520541191101
3,NP3,49,48,0.72,4121732,-0.3171599507331848,sim_to_NP3,6,NP6,0.7967953681945801
3,NP3,50,49,0.72,21424,-0.3543238639831543,sim_to_NP3,5,NP5,0.740737795829773
3,NP3,51,50,0.72,17177,-0.35476258397102356,sim_to_NP3,5,NP5,0.7240414023399353
3,NP3,52,51,0.72,13680388,-0.3616269826889038,sim_to_NP3,5,NP5,0.7400968074798584
