method,nearest_proto_similarity,assigned_prototype
PCL encoder only,0.7484703660011292,6
PCL encoder only,0.7731244564056396,6
PCL encoder only,0.7953177690505981,2
PCL encoder only,0.7878795266151428,2
PCL encoder only,0.7310004234313965,6
PCL encoder only,0.7909173965454102,6
PCL encoder only,0.7317880392074585,6
PCL encoder only,0.7503088712692261,6
PCL encoder only,0.7172961235046387,6
PCL encoder only,0.7834187746047974,6
PCL encoder only,0.7036315202713013,6
PCL encoder only,0.7890471816062927,2
PCL encoder only,0.7209548950195312,6
PCL encoder only,0.7215065360069275,6
PCL encoder only,0.7352840900421143,6
PCL encoder only,0.7400002479553223,6
PCL encoder only,0.8171981573104858,2
PCL encoder only,0.7877669930458069,2
PCL encoder only,0.7698239684104919,6
PCL encoder only,0.7073962688446045,2
PCL encoder only,0.7280085682868958,6
PCL encoder only,0.71892249584198,6
PCL encoder only,0.7054171562194824,6
PCL encoder only,0.7335275411605835,6
PCL encoder only,0.7232503890991211,6
PCL encoder only,0.8197640180587769,2
PCL encoder only,0.712020993232727,6
PCL encoder only,0.7233031988143921,6
PCL encoder only,0.7482001781463623,2
PCL encoder only,0.7809369564056396,2
PCL encoder only,0.712906002998352,6
PCL encoder only,0.7188313007354736,6
PCL encoder only,0.7602086067199707,2
PCL encoder only,0.7119035720825195,6
PCL encoder only,0.7117089033126831,6
PCL encoder only,0.7261391878128052,6
PCL encoder only,0.7030472755432129,6
PCL encoder only,0.7134251594543457,6
PCL encoder only,0.7261079549789429,6
PCL encoder only,0.7297314405441284,6
PCL encoder only,0.789306640625,2
PCL encoder only,0.7145479917526245,6
PCL encoder only,0.6951574087142944,6
PCL encoder only,0.7177828550338745,6
PCL encoder only,0.7000670433044434,6
PCL encoder only,0.7001852989196777,6
PCL encoder only,0.7110092639923096,6
PCL encoder only,0.6930504441261292,6
PCL encoder only,0.7741045951843262,2
PCL encoder only,0.7218449115753174,6
PCL encoder only,0.7404475212097168,6
PCL encoder only,0.7857252359390259,2
PCL encoder only,0.7932088375091553,2
PCL encoder only,0.7784347534179688,2
PCL encoder only,0.691225528717041,6
PCL encoder only,0.6887836456298828,6
PCL encoder only,0.7102898359298706,6
PCL encoder only,0.713428258895874,6
PCL encoder only,0.7364692091941833,6
PCL encoder only,0.77634197473526,2
PCL encoder only,0.705087423324585,6
PCL encoder only,0.7104686498641968,6
PCL encoder only,0.7115824222564697,6
PCL encoder only,0.6943005323410034,6
PCL encoder only,0.7948313355445862,2
PCL encoder only,0.7259942293167114,6
PCL encoder only,0.707846462726593,6
PCL encoder only,0.7611765265464783,2
PCL encoder only,0.7786126136779785,2
PCL encoder only,0.6846257448196411,6
PCL encoder only,0.7038305997848511,6
PCL encoder only,0.7146731615066528,2
PCL encoder only,0.6840841770172119,6
PCL encoder only,0.7411085963249207,6
PCL encoder only,0.7015416622161865,6
PCL encoder only,0.6846528649330139,6
PCL encoder only,0.6936689615249634,6
PCL encoder only,0.7751518487930298,2
PCL encoder only,0.6998215913772583,6
PCL encoder only,0.7624414563179016,2
PCL encoder only,0.7610595226287842,2
PCL encoder only,0.7107185125350952,6
PCL encoder only,0.7875659465789795,2
PCL encoder only,0.7146139144897461,2
PCL encoder only,0.6992583274841309,6
PCL encoder only,0.7775871753692627,2
PCL encoder only,0.8187013864517212,2
PCL encoder only,0.7030996084213257,6
PCL encoder only,0.7054927349090576,6
PCL encoder only,0.7045311331748962,6
PCL encoder only,0.6937590837478638,6
PCL encoder only,0.7191515564918518,6
PCL encoder only,0.6962547898292542,6
PCL encoder only,0.7156155109405518,6
PCL encoder only,0.7451038360595703,6
PCL encoder only,0.7099887132644653,6
PCL encoder only,0.7790547609329224,2
PCL encoder only,0.7697718143463135,2
PCL encoder only,0.7647136449813843,2
PCL encoder only,0.7013298273086548,6
PCL encoder only,0.6967995166778564,6
PCL encoder only,0.6973459720611572,6
PCL encoder only,0.6978304386138916,6
PCL encoder only,0.7611619234085083,2
PCL encoder only,0.7162022590637207,6
PCL encoder only,0.7795430421829224,2
PCL encoder only,0.6838740706443787,6
PCL encoder only,0.6895014047622681,6
PCL encoder only,0.7153489589691162,6
PCL encoder only,0.6904639601707458,6
PCL encoder only,0.801453709602356,1
PCL encoder only,0.6733015775680542,6
PCL encoder only,0.7296813726425171,2
PCL encoder only,0.7807385921478271,2
PCL encoder only,0.6695795655250549,6
PCL encoder only,0.7014830708503723,6
PCL encoder only,0.684326171875,6
PCL encoder only,0.6879256367683411,6
PCL encoder only,0.6932040452957153,6
PCL encoder only,0.7669462561607361,2
PCL encoder only,0.7681424617767334,2
PCL encoder only,0.7157665491104126,6
