epoch,prototype,mean_umap_1,mean_umap_2,std_umap_1,std_umap_2
24,7,5.700444,4.286162,7.0912833,7.6442103
25,1,1.7895966,3.1626894,9.330242,9.279755
25,2,3.164269,5.5932865,9.520123,7.1888323
25,3,2.2049065,4.602639,9.143558,9.51255
25,4,6.0293436,5.8781486,7.489116,6.875177
25,5,7.0010405,5.3731794,9.991312,8.904998
25,6,3.8678029,3.5143528,3.431645,7.275264
25,7,5.7025933,4.276202,7.061936,7.6474285
26,1,1.7953392,3.1804976,9.351036,9.26861
26,2,3.1698813,5.603457,9.541808,7.203729
26,3,2.1866791,4.6058187,9.1236,9.515091
26,4,6.035502,5.888232,7.4768677,6.870057
26,5,7.0028887,5.3768687,9.9964285,8.892012
26,6,3.8969502,3.5206532,3.429725,7.2890787
26,7,5.7079043,4.265294,7.053466,7.6522565
27,1,1.8024597,3.1646898,9.366895,9.250186
27,2,3.176248,5.6032305,9.529563,7.2093573
27,3,2.1803887,4.603341,9.116511,9.505623
27,4,6.0530953,5.891386,7.4747734,6.886815
27,5,6.9941835,5.37484,9.993877,8.879834
27,6,3.8861778,3.5088387,3.430784,7.2985473
27,7,5.7053366,4.238671,7.0423656,7.6628904
28,1,1.8037748,3.1639578,9.3922615,9.245454
28,2,3.1654937,5.6111364,9.548722,7.2195773
28,3,2.1589038,4.599928,9.105002,9.512799
28,4,6.0408363,5.8890176,7.4723115,6.884022
28,5,7.0023565,5.3769407,10.002036,8.863043
28,6,3.8941104,3.5123172,3.4311187,7.3083963
28,7,5.715432,4.231708,7.028253,7.6711087
29,1,1.812919,3.1657958,9.4305,9.227465
29,2,3.1698875,5.6074333,9.545846,7.2345877
29,3,2.163343,4.6162157,9.098364,9.490628
29,4,6.033809,5.887809,7.447485,6.8738246
29,5,6.9861717,5.391055,10.00004,8.847047
29,6,3.8983817,3.5115495,3.4388113,7.3229494
29,7,5.725224,4.2107115,7.0225787,7.679043
30,1,1.8105656,3.156427,9.449563,9.2015295
30,2,3.1767926,5.6066637,9.556529,7.2452545
30,3,2.1473598,4.6040487,9.081758,9.481663
30,4,6.0385046,5.8865805,7.438024,6.867754
30,5,6.9711504,5.400462,10.002549,8.8479805
30,6,3.8955612,3.5109913,3.433705,7.304038
30,7,5.7399826,4.1950383,7.0007215,7.6891418
31,1,1.8185161,3.1544714,9.470449,9.191982
31,2,3.172081,5.6263003,9.568366,7.2460036
31,3,2.147398,4.609025,9.0738125,9.484701
31,4,6.0434465,5.8800344,7.4342866,6.8664074
31,5,6.96726,5.403745,9.999366,8.84423
31,6,3.9070053,3.510044,3.4416435,7.3237405
31,7,5.74877,4.148976,6.997623,7.685689
32,1,1.8264177,3.1525617,9.494646,9.176631
32,2,3.1695132,5.6135454,9.567346,7.253805
32,3,2.1319215,4.6099057,9.062471,9.478833
32,4,6.0460076,5.8762197,7.4213753,6.8632245
32,5,6.962102,5.3995886,9.998645,8.830992
32,6,3.9076793,3.5273786,3.433824,7.3454604
32,7,5.7434063,4.1661744,6.977018,7.702104
33,1,1.8259405,3.1505585,9.509255,9.167518
33,2,3.1716206,5.6211557,9.583949,7.260241
33,3,2.1318986,4.619012,9.043315,9.4596405
33,4,6.047192,5.882437,7.4192686,6.8542123
33,5,6.95858,5.420178,10.01289,8.81832
33,6,3.9088922,3.50638,3.4447086,7.3449554
33,7,5.7674856,4.134393,6.9628277,7.7193303
34,1,1.8343723,3.1562378,9.559504,9.158956
34,2,3.1718197,5.625334,9.592235,7.2712765
34,3,2.1247227,4.62321,9.028335,9.452329
34,4,6.0546274,5.862685,7.3968267,6.8670297
34,5,6.952015,5.422161,10.012129,8.808372
34,6,3.922556,3.519757,3.4431338,7.348337
34,7,5.7605696,4.124375,6.947901,7.7224007
35,1,1.8357065,3.1490784,9.577213,9.132845
35,2,3.1676996,5.6155386,9.604351,7.281448
35,3,2.1065798,4.619281,9.0183115,9.457283
35,4,6.054684,5.871633,7.400857,6.8488965
35,5,6.9433775,5.4290557,10.014678,8.786605
35,6,3.9150608,3.5249386,3.4457679,7.360386
35,7,5.761533,4.115362,6.9456897,7.7306237
36,1,1.8388458,3.146802,9.601586,9.127439
36,2,3.1740565,5.6197686,9.625753,7.2909346
36,3,2.0953727,4.6150565,9.002695,9.453335
36,4,6.056184,5.882579,7.3998947,6.8431125
36,5,6.936433,5.4374647,10.013079,8.788869
36,6,3.9214756,3.5332031,3.44523,7.369076
36,7,5.7804484,4.095866,6.9297066,7.73829
37,1,1.8504219,3.1548038,9.618425,9.111619
37,2,3.1621575,5.619684,9.622846,7.2991867
37,3,2.0934963,4.6231174,8.989259,9.440694
37,4,6.0512505,5.8748655,7.3883014,6.8438253
37,5,6.917952,5.4480357,10.018127,8.768645
37,6,3.9310544,3.5501106,3.44938,7.3813562
37,7,5.7822556,4.089721,6.9243746,7.760512
38,1,1.8575882,3.1513097,9.6496315,9.115968
38,2,3.1710687,5.619041,9.638638,7.306741
38,3,2.0927737,4.629809,8.977091,9.4384775
38,4,6.0382047,5.862475,7.376351,6.821109
38,5,6.914069,5.4491243,10.011493,8.768584
38,6,3.92837,3.5445461,3.4494948,7.3990507
38,7,5.791124,4.073075,6.906849,7.7783113
39,1,1.8558643,3.163744,9.680219,9.096505
39,2,3.1638968,5.6190414,9.643208,7.3102894
39,3,2.0752823,4.6208925,8.9649105,9.438513
39,4,6.060031,5.863478,7.358174,6.8509817
39,5,6.9156814,5.4575114,10.018602,8.750637
39,6,3.9402382,3.551326,3.4421492,7.3950315
39,7,5.798017,4.0604806,6.8922076,7.784176
40,1,1.8762592,3.1492734,9.699656,9.070181
40,2,3.1574237,5.620419,9.649393,7.3216376
40,3,2.0661452,4.6167655,8.956342,9.430761
40,4,6.044335,5.862242,7.3533473,6.841389
40,5,6.9018736,5.466325,10.019786,8.740978
